"time [s]"	"region"	"quantity [kg]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
0	"tect1"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"tect2"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"tect3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"hu"	"I129"	0	0	0	0	10	10	0	0	0	0	0	0
0	"geo_1_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_2_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_3_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_6_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_7_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_8_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_9_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_10_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_11_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_12_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_13_layer3"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_1_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_2_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_3_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_4_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_6_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_7_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_8_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_9_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_10_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_11_layer4"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_1_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_2_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_3_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_5_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_6_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_8_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_9_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_10_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_11_layer5"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_1_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_2_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_3_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_5_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_6_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_7_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_8_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
0	"geo_9_layer6"	"I129"	0	0	0	0	0	0	0	0	0	0	0	0
